a51e564,Dylan Bennett,2026-04-29,feat: auth redesign, role colour themes, UI polish, circular pfp, like button on post detail
28e4498,Dylan Bennett,2026-04-28,fix: ticket capacity enforcement, push token registration, edit event capacity
ba89674,Dylan Bennett,2026-04-24,App finalised and ready for deployment
8726a87,Dylan Bennett,2026-04-24,chore: deploy to Railway, native maps, calendar picker, QR fix
f6df24a,Dylan Bennett,2026-04-24,fix: add missing ticket columns
9df1354,Dylan Bennett,2026-04-24,fix: add missing Follow, Comment, PushToken, Notification tables
9579c84,Dylan Bennett,2026-04-24,fix: add missing notificationsEnabled and capacity migrations
110c0b2,Dylan Bennett,2026-04-24,fix: add missing event category migration
b6129a7,Dylan Bennett,2026-04-24,chore: move migrations to start script
53de4e6,Dylan Bennett,2026-04-24,chore: run migrations automatically on deploy
e868681,Dylan Bennett,2026-04-19,Fix push notifications, Apple Pay, and EAS build
1f98784,Dylan Bennett,2026-04-19,Add design spec for push notifications and Apple Pay
18ae25a,Dylan Bennett,2026-04-08,Add comprehensive unit tests and project configuration
39591ce,Dylan Bennett,2026-03-16,Improve UI with themed shadows, proper icons, empty states, and cleaner bottom nav
3f8fdef,Dylan Bennett,2026-03-16,Add event ticket capacity feature
ebecce3,Dylan Bennett,2026-03-16,Add Stripe PaymentSheet integration for paid events
3768de4,Dylan Bennett,2026-03-16,Add follow system and push notifications infrastructure
be85054,Dylan Bennett,2026-03-16,Enhance UI with Ionicons, avatar glow effects, and styled stat cards
19979c3,Dylan Bennett,2026-03-16,Redesign tickets tab with Upcoming/All/Past filters, add used/expired ticket handling, improve QR code UX, and reformat FilterBar layout
8e6031d,Dylan Bennett,2026-03-16,Add event-specific ticket validation
b87107d,Dylan Bennett,2026-03-16,Add QR code scanner for organisations to validate tickets
d140f35,Dylan Bennett,2026-03-16,Add comments system for posts
faf2cc6,Dylan Bennett,2026-03-16,Update progress.md with recent changes
f10ae17,Dylan Bennett,2026-03-16,Remove unnecessary .md files
200f51b,Dylan Bennett,2026-03-16,Merge frontend into main repo (remove submodule)
2e2ec7c,Dylan Bennett,2026-03-16,Add event categories, hashtag search, and ticket counts
36271de,Dylan Bennett,2026-03-16,Resolve merge conflicts by preferring local changes
e2f12dc,Dylan Bennett,2026-03-16,Initial commit
5a5960f,Dylan Bennett,2026-03-16,overhauled styling, made sure just about everything is working as intended
833374e,Dylan Bennett,2026-03-09,app.json
a9cd423,Dylan Bennett,2026-03-09,added splash screen test
87ad025,bobbymilo12,2026-03-05,FIxed tickets dissapearing when refreshing and not appearing in the database
503b407,bobbymilo12,2026-03-05,Fixed total likes calculation in profile pages.
c58008c,bobbymilo12,2026-03-05,Fixed issue with maps not displaying in event card.
212e3ff,bobbymilo12,2026-03-05,Made sure tickets are deleted when an event is delted
b902083,Dylan Bennett,2026-03-04,Merge branch 'main' of https://github.com/Plymouth-University/comp2003-2025-2026-team-21
1fb3a27,Dylan Bennett,2026-03-04,fixed issue where user likes a post, logs out, logs back in and can infinitely like posts
f319d1f,bobbymilo12,2026-03-04,Initial designs on canva
9f3a79b,bobbymilo12,2026-03-04,Trello screenshots
3bd2ebc,bobbymilo12,2026-03-04,FIxed back button issues, and hashtag searching.
da573ba,Dylan Bennett,2026-03-04,Merge branch 'main' of https://github.com/Plymouth-University/comp2003-2025-2026-team-21
43ad50d,Dylan Bennett,2026-03-04,Improved styling, made overall theme a bit more cohesive and cleaner
9938de9,bobbymilo12,2026-03-02,Added edit and delete functionality to posts
756498a,bobbymilo12,2026-03-02,Added booking function, created ticket card and generates QR code for each ticket
f944bfe,bobbymilo12,2026-02-10,App remembers last account logged in and skips login.
08bcbad,bobbymilo12,2026-02-10,Added 2 tabs in the organisations profile page to show all posts and events made by that organisation.
4afafaa,bobbymilo12,2026-02-10,Added icon next to organisations names to distinguish them from students
92ee1fc,bobbymilo12,2026-02-10,Fixed bug of going back to login page after creating an event, stays on page now.
02ef34f,bobbymilo12,2026-02-10,Delete button backend for student and organisation profiles
